시군구코드,법정동코드,행정동코드,시도명,시군구명,법정동명,행정동명,적용시작일,적용만료일,lat,lng
11620,10100,545,서울특별시,관악구,봉천동,청림동,20080901,99991231,37.5962736,127.1419836
11620,10100,525,서울특별시,관악구,봉천동,보래매동,20080901,99991231,37.5962736,127.1419836
11620,10200,655,서울특별시,관악구,신림동,신원동,20080901,99991231,37.5962736,127.1419836
11620,10200,645,서울특별시,관악구,신림동,서원동,20080901,99991231,37.5962736,127.1419836
11620,10200,775,서울특별시,관악구,신림동,난곡동,20080901,99991231,37.5962736,127.1419836
11620,10200,765,서울특별시,관악구,신림동,미성동,20080901,99991231,37.4782738,126.9161957
11620,10200,745,서울특별시,관악구,신림동,삼성동,20080901,99991231,37.5962736,127.1419836
11560,10400,535,서울특별시,영등포구,영등포동3가,영등포동,20080901,99991231,37.5203815,126.9107253
11620,10200,735,서울특별시,관악구,신림동,대학동,20080901,99991231,37.5962736,127.1419836
11560,10500,535,서울특별시,영등포구,영등포동4가,영등포동,20080901,99991231,37.5203815,126.9107253
11560,10600,535,서울특별시,영등포구,영등포동5가,영등포동,20080901,99991231,37.5203815,126.9107253
11560,10700,535,서울특별시,영등포구,영등포동6가,영등포동,20080901,99991231,37.5203815,126.9107253
11560,10800,535,서울특별시,영등포구,영등포동7가,영등포동,20080901,99991231,37.5962736,127.1419836
11560,10900,535,서울특별시,영등포구,영등포동8가,영등포동,20080901,99991231,37.5962736,127.1419836
11560,11800,585,서울특별시,영등포구,도림동,도림동,20080901,99991231,37.50872,126.90113
11560,11900,605,서울특별시,영등포구,문래동1가,문래동,20080901,99991231,37.5193476,126.89548922769106
11560,12000,605,서울특별시,영등포구,문래동2가,문래동,20080901,99991231,37.513968,126.8952048
11560,12100,605,서울특별시,영등포구,문래동3가,문래동,20080901,99991231,37.5194541,126.89003590759955
11590,10600,630,서울특별시,동작구,동작동,사당제2동,20080901,99991231,37.5962736,127.1419836
11560,12200,605,서울특별시,영등포구,문래동4가,문래동,20080901,99991231,37.5194541,126.89003590759955
11560,12300,605,서울특별시,영등포구,문래동5가,문래동,20080901,99991231,37.5194541,126.89003590759955
11620,10200,725,서울특별시,관악구,신림동,조원동,20080901,99991231,37.5962736,127.1419836
11620,10200,715,서울특별시,관악구,신림동,난향동,20080901,99991231,37.5962736,127.1419836
11560,12400,605,서울특별시,영등포구,문래동6가,문래동,20080901,99991231,37.5194541,126.89003590759955
11620,10200,695,서울특별시,관악구,신림동,신림동,20080901,99991231,37.48740505,126.92715331638146
11620,10200,685,서울특별시,관악구,신림동,신사동,20080901,99991231,37.5962736,127.1419836
11620,10200,665,서울특별시,관악구,신림동,서림동,20080901,99991231,37.5962736,127.1419836
11560,13200,515,서울특별시,영등포구,신길동,영등포본동,20080901,99991231,37.5962736,127.1419836
11500,10600,615,서울특별시,강서구,내발산동,우장산동,20080825,99991231,37.5482372,126.8418346
11500,10300,615,서울특별시,강서구,화곡동,우장산동,20080825,99991231,37.5962736,127.1419836
11230,10700,705,서울특별시,동대문구,청량리동,청량리동,20080811,99991231,37.58831,127.0459
11200,10100,535,서울특별시,성동구,상왕십리동,왕십리도선동,20080811,99991231,37.5679442,127.02558978213858
11200,11300,645,서울특별시,성동구,옥수동,옥수동,20080811,99991231,37.54176,127.01648
11200,10400,535,서울특별시,성동구,도선동,왕십리도선동,20080811,99991231,37.5962736,127.1419836
11200,10300,535,서울특별시,성동구,홍익동,왕십리도선동,20080811,99991231,37.5962736,127.1419836
11200,11100,615,서울특별시,성동구,금호동3가,금호2.3가동,20080811,99991231,37.55321305,127.02097287878237
11200,11000,615,서울특별시,성동구,금호동2가,금호2.3가동,20080811,99991231,37.55321305,127.02097287878237
11200,10200,535,서울특별시,성동구,하왕십리동,왕십리도선동,20080811,99991231,37.5962736,127.1419836
11230,10200,535,서울특별시,동대문구,용두동,용두동,20080811,20090503,37.57374,127.03175
11740,10500,685,서울특별시,강동구,길동,길동,20080707,99991231,37.5383683,127.1402049
11305,10300,660,서울특별시,강북구,수유동,인수동,20080630,99991231,37.6414795,127.0106302
11305,10100,535,서울특별시,강북구,미아동,미아동,20080630,99991231,37.6270848,127.0270683
11170,12600,625,서울특별시,용산구,용산동3가,한강로동,20080630,99991231,37.5281196,126.96920037042088
11170,12700,625,서울특별시,용산구,용산동5가,한강로동,20080630,99991231,37.5281196,126.96920037042088
11170,12500,625,서울특별시,용산구,한강로2가,한강로동,20080630,99991231,37.5281196,126.96920037042088
11170,12400,625,서울특별시,용산구,한강로1가,한강로동,20080630,99991231,37.5281196,126.96920037042088
11170,12300,560,서울특별시,용산구,신계동,원효로제1동,20080630,99991231,37.5962736,127.1419836
11170,12200,560,서울특별시,용산구,문배동,원효로제1동,20080630,99991231,37.5962736,127.1419836
11170,11100,555,서울특별시,용산구,청파동3가,청파동,20080630,99991231,37.5488115,126.970133
11170,11000,555,서울특별시,용산구,청파동2가,청파동,20080630,99991231,37.5488115,126.970133
11170,10900,555,서울특별시,용산구,청파동1가,청파동,20080630,99991231,37.5488115,126.970133
11170,10800,555,서울특별시,용산구,서계동,청파동,20080630,99991231,37.5488115,126.970133
