노선명,역명,lat,lng,line,name,code,index,승차총승객수,하차총승객수,next_column,총승객수
수인선,인천논현,37.400614,126.722478,수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선,인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현인천논현,56430.0,606933465,162365,173156,606933765,335521
수인선,인하대,37.448493,126.649619,수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선,인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대인하대,56640.0,606933465,215928,204051,606933765,419979
수인선,호구포,37.401637,126.708627,수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선수인선,호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포호구포,56460.0,606933465,117840,120896,606933765,238736
신림선,관악산,37.468660507,126.945355066,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산관악산,0.0,606933465,88615,93893,606933765,182508
신림선,당곡,37.4895091,126.9277483,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡당곡,0.0,606933465,134147,130668,606933765,264815
신림선,대방,37.513342,126.926382,01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선01호선,대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방대방,30150.0,606933465,86728,65844,606933765,152572
신림선,보라매,37.499872,126.920428,07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선07호선,보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매보라매,82320.0,606933465,114363,105180,606933765,219543
신림선,보라매공원,37.4953567,126.9180256,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원보라매공원,0.0,606933465,60692,66086,606933765,126778
신림선,보라매병원,37.4931658,126.9237805,nannannannannannannannannannannannannannannannannannannannannannannannannannannannannannan,보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원보라매병원,0.0,606933465,206210,212622,606933765,418832
신림선,샛강,37.517274,126.928422,09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선09호선,샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강샛강,123480.0,606933465,79405,92277,606933765,171682
